Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Camp Name,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Protection Event Context,Victim of Violence,Survivor or Victim Sex,Survivor or Victim Minor,Number of Attacks on Camps Reporting Destruction,Number of Attacks on Camps Reporting Damaged,Camp Resident Killed,Camp Resident Injured,Camp Residents Kidnapped,Camp Residents Arrested,Camp Residents Targeted with CRSV,Service Provider Killed,Service Provider Kidnapped,Service Provider Arrested,Service Provider Targeted with CRSV,SiND ID
2025-01-11,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,8,1,0,0,0,0,0,0,0,96769
2025-01-11,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,16,42,0,0,0,0,0,0,0,96770
2025-01-10,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,10,4,0,0,0,0,0,0,0,96768
2025-01-08,,Sudan,SDN,North Darfur,14.1,24.5,(2) 25 km Precision ,Fata Borno Camp,Host Government: Military,Sudanese Armed Forces,Aerial Bomb: Plane,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,6,1,0,0,0,0,0,0,0,96767
2025-01-07,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,1,1,0,0,0,0,0,0,0,96766
2025-01-06,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,1,1,0,0,0,0,0,0,0,96765
2025-01-05,,Sudan,SDN,North Darfur,14.1,24.5,(2) 25 km Precision ,Fata Borno Camp,Host Government: Military,Sudanese Armed Forces,Aerial Bomb: Plane,Airstrike/Shelling,Camp Resident,Multiple,Adult,0,1,4,3,0,0,0,0,0,0,0,96764
2025-01-04,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,2,2,0,0,0,0,0,0,0,96763
2025-01-04,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,Host Government: Military,Sudanese Armed Forces,Aerial Bomb: Drone,Airstrike/Shelling,Camp Resident,No Information,Minor,0,1,2,0,0,0,0,0,0,0,0,89403
2025-01-03,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,Host Government: Military,Sudanese Armed Forces,Aerial Bomb: Plane,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,1,1,0,0,0,0,0,0,0,96761
2025-01-03,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,1,1,0,0,0,0,0,0,0,96762
2025-01-02,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,1,1,0,0,0,0,0,0,0,96804
2025-01-02,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,4,0,0,0,0,0,0,0,0,96760
2025-01-01,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,1,1,0,0,0,0,0,0,0,96759
2024-12-31,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,None,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,10,18,0,0,0,0,0,0,0,88209
2024-12-31,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,,Multiple,No Information About Age,0,0,0,0,0,0,0,0,0,0,0,89573
2024-12-30,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,4,9,0,0,0,0,0,0,0,96758
2024-12-28,,Sudan,SDN,North Darfur State,13.4,25.4,(2) 25 km Precision ,Temporary/Makeshift Site,NSA,Rapid Support Forces,Aerial Bomb: Drone,Airstrike/Shelling,Camp Resident,No Information,Adult,0,0,0,0,0,0,0,0,0,0,0,86809
2024-12-26,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,3,1,0,0,0,0,0,0,0,88194
2024-12-26,,Sudan,SDN,North Darfur State,16,26,"(4) Province, State, Governorate ",None,NSA,Rapid Support Forces,Missile,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,10,1,0,0,0,0,0,0,0,88206
2024-12-24,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,0,0,0,0,0,0,0,0,0,96756
2024-12-24,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,Multiple,"Darfur rebels, Rapid Support Forces",Shelling,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,4,6,0,0,0,0,0,0,0,96757
2024-12-22,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,8,8,0,0,0,0,0,0,0,96792
2024-12-22,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,1,1,0,0,0,0,0,0,0,96791
2024-12-19,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,No Direct Victim Reported,No Direct Victim Reported,No Direct Victim Reported,0,1,0,0,0,0,0,0,0,0,0,88167
2024-12-18,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,1,1,0,0,0,0,0,0,0,96755
