state_code,month,rain_total,rain_total_avg,n_localities_reporting,rain_anom,rain_anom_pct,rain_anom_z,rain_deficit_3mo,drought_flag,coverage_flag_low,state_clean
SD16,2024-04,0.3346482947,0.32471444484,6,0.00993384986000001,0.0305925714665845,-0.023715958909363444,0.12754459016000003,0,0,river nile
SD16,2024-05,21.71422915,22.142438900000002,6,-0.4282097500000006,-0.019338870118774523,-0.03455605497891491,-0.2991432956400006,1,0,river nile
SD16,2024-06,26.74612011926,22.4622175493,6,4.283902569959999,0.19071592377545554,0.08202615746286182,3.865626669819998,0,0,river nile
SD16,2024-07,251.2060305,160.26584880000001,6,90.94018169999998,0.5674333139650147,2.2259862452049948,94.79587451995998,0,0,river nile
SD16,2024-08,357.3659011,152.5187199,6,204.84718119999997,1.3430953350140198,5.044155489190054,300.07126546995994,0,0,river nile
SD16,2024-09,45.509359294,45.724509143,6,-0.21514984899999945,-0.004705350654003399,-0.029284747133388658,295.57221305099995,0,0,river nile
SD16,2024-10,21.137991234,22.193098764,6,-1.0551075299999972,-0.04754214547594023,-0.0500661118715864,203.57692382099998,0,0,river nile
SD16,2024-11,0.233468244,0.24350624727,6,-0.010038003270000012,-0.04122277511373194,-0.024210081856007763,-1.2802953822699967,1,0,river nile
SD16,2024-12,0.109734425,0.1132854405,6,-0.0035510155000000043,-0.031345735906813235,-0.02404958750974486,-1.0686965487699973,1,0,river nile
SD16,2025-01,0.0616755525,0.06664163570000001,6,-0.004966083200000006,-0.07451922732442783,-0.02408459765212243,-0.018555101970000022,1,0,river nile
SD16,2025-02,0.008810793,0.0055267701999999995,6,0.0032840228000000013,0.5942028854393117,-0.023880482057024022,-0.005233075900000009,1,0,river nile
SD16,2025-03,0.1321618985,0.169220624,6,-0.03705872549999997,-0.218996506596028,-0.02487860063600468,-0.03874078589999998,1,0,river nile
SD16,2025-04,0.3346482947,0.32471444484,6,0.00993384986000001,0.0305925714665845,-0.023715958909363444,-0.02384085283999996,1,0,river nile
SD16,2025-05,18.67688373,22.142438900000002,6,-3.465555170000002,-0.15651189941863186,-0.10970291587048712,-3.4926800456400016,1,0,river nile
SD16,2025-06,19.71711532596,22.4622175493,6,-2.7451022233400018,-0.12220976033711099,-0.09187821374570138,-6.200723543480003,1,0,river nile
SD16,2025-07,165.27443283,160.26584880000001,6,5.00858402999998,0.03125172372967821,0.0999554770949786,-1.2020733633400233,1,0,river nile
SD16,2025-08,237.388397,152.5187199,6,84.86967709999999,0.5564541661223318,2.075796095044909,87.13315890665997,0,0,river nile
SD16,2025-09,56.972279499,45.724509143,6,11.247770356000004,0.24598996395616712,0.2543189761653356,101.12603148599997,0,0,river nile
SD16,2025-10,22.353140574,22.193098764,6,0.16004181000000273,0.007211332302076297,-0.020002142915607146,96.277489266,0,0,river nile
SD16,2025-11,0.234269223,0.24350624727,6,-0.009237024270000005,-0.03793341802749718,-0.024190264861505353,11.398575141730007,0,0,river nile
SD16,2025-12,0.0352431725,0.0759864165,6,-0.040743244,-0.5361911493747044,-0.024969759184304375,0.11006154173000272,0,0,river nile
SD17,2018-01,0.0,0.00092917568,7,-0.00092917568,-1.0,-0.048647314876498655,0.02384072798699999,0,0,northern
SD17,2018-02,0.0,0.0,7,0.0,,-0.048579526180119015,0.024828669353999997,0,0,northern
SD17,2018-03,0.00670241256,0.007482741237000001,7,-0.0007803286770000006,-0.10428379818100618,-0.04863645563371974,-0.0017095043570000005,1,0,northern
SD17,2018-04,0.055870098800000004,0.055448343034,7,0.00042175576600000236,0.007606282585241343,-0.04854875667744785,-0.00035857291099999824,1,0,northern
SD17,2018-05,2.844554425,2.595780213736,7,0.24877421126400012,0.09583793340729321,-0.030430020292857497,0.24841563835300012,0,0,northern
SD17,2018-06,4.809599195,4.1128298149999996,7,0.6967693800000001,0.1694136182000033,0.002253797338907464,0.9459653470300002,0,0,northern
SD17,2018-07,70.490974789,62.748087704,7,7.742887085000007,0.12339638335315231,0.5163085063035948,8.688430676264007,0,0,northern
SD17,2018-08,112.9950721,72.11439767,7,40.88067443,0.5668864436346335,2.9339001989998006,49.320330895000005,0,0,northern
SD17,2018-09,18.1430783645,12.742981041,7,5.400097323499999,0.42377033334079484,0.345388553013752,54.023658838500005,0,0,northern
SD17,2018-10,3.526573313,3.35619679887,7,0.17037651413,0.05076475675900893,-0.03614958205310489,46.451148267629996,0,0,northern
SD17,2018-11,0.0937194922,0.076415684967,7,0.017303807233,0.22644313455375845,-0.04731711417345771,5.5877776448629985,0,0,northern
SD17,2018-12,0.150602047,0.133075485966,7,0.017526561033999993,0.13170390404193547,-0.047300863005773894,0.20520688239699997,0,0,northern
SD17,2019-01,0.0365898191,0.00092917568,7,0.03566064342,38.37879551475131,-0.04597787766355317,0.07049101168699999,0,0,northern
